x,y,type,region,byName,byCode,enName,enCode,ruName,ruCode,byClassicName,byClassicCode,enClassicName,enClassicCode,byLatinName,byLatinCode
12,12,district,Гомельская,Кармянскі,КРМ,Karma,KRM,Кормянский,КРМ,Кармянскі,КРМ,Karma,KRM,Karmjanski,KRM
8,13,district,Гомельская,Лельчыцкі,ЛЛЧ,Lyelchytsy,LLC,Лельчицкий,ЛЛЧ,Лельчыцкі,ЛЛЧ,Lyelchytsy,LLC,Lelčycki,LLČ
11,14,district,Гомельская,Лоеўскі,ЛОЕ,Loyew,LOY,Лоевский,ЛОЕ,Лоеўскі,ЛОЕ,Loyew,LOY,Łojeŭski,ŁOJ
9,14,district,Гомельская,Мазырскі,МЗР,Mazyr,MZR,Мозырский,МЗР,Мазырскі,МЗР,Mazyr,MZR,Mazyrski,MZR
10,15,district,Гомельская,Нараўлянскі,НРЛ,Narowlya,NRL,Наровлянский,НРЛ,Нараўлянскі,НРЛ,Narowlya,NRL,Naraŭlanski,NRL
9,13,district,Гомельская,Петрыкаўскі,ПТР,Pyetrykaw,PTR,Петриковский,ПТР,Петрыкаўскі,ПТР,Pyetrykaw,PTR,Pietrykaŭski,PTR
12,11,district,Гомельская,Рагачоўскі,РГЧ,Rahachow,RHC,Рогачевский,РГЧ,Рагачоўскі,РГЧ,Rahachow,RHC,Rahačoŭski,RHČ
11,13,district,Гомельская,Рэчыцкі,РЧЦ,Rechytsa,RCH,Речицкий,РЧЦ,Рэчыцкі,РЧЦ,Rechytsa,RCH,Rečycki,RČC
10,12,district,Гомельская,Светлагорскі,СВГ,Svyetlahorsk,SVH,Светлогорский,СВГ,Шацілавіцкі,ШЦЛ,Shatsilavichy,SHT,Šaciłavicki,ŠCŁ
10,14,district,Гомельская,Хойніцкі,ХОЙ,Khoyniki,KHN,Хойникский,ХОЙ,Хвойніцкі,ХВН,Khvoyniki,KHV,Chvojnicki,CHV
13,12,district,Гомельская,Чачэрскі,ЧЧР,Chachersk,CHC,Чечерский,ЧЧР,Чачэрскі,ЧЧР,Chachersk,CHC,Čačerski,ČČR
5,6,district,Гарадзенская,Астравецкі,АСТ,Astravyets,AST,Островецкий,ОСТ,Астравецкі,АСТ,Astravyets,AST,Astraviecki,AST
5,7,district,Гарадзенская,Ашмянскі,АШМ,Ashmyany,ASH,Ошмянский,ОШМ,Ашмянскі,АШМ,Ashmyany,ASH,Ašmianski,AŠM
2,10,district,Гарадзенская,Бераставіцкі,БЕР,Byerastavitsa,BYE,Берестовицкий,БРВ,Бераставіцкі,БЕР,Byerastavitsa,BYE,Bierastavicki,BIE
3,11,district,Гарадзенская,Ваўкавыскі,ВКВ,Vawkavysk,VKV,Волковысский,ВКВ,Ваўкавыскі,ВКВ,Vawkavysk,VKV,Vaŭkavyski,VKV
4,8,district,Гарадзенская,Воранаўскі,ВРН,Voranava,VRN,Вороновский,ВРН,Вярэнаўскі,ВРН,Vyarenaw,VRN,Viarenaŭski,VRN
2,9,district,Гарадзенская,Гродзенскі,ГРО,Hrodna,HRO,Гродненский,ГРО,Гарадзенскі,ГОР,Horadnya,HOR,Haradzienski,HOR
4,10,district,Гарадзенская,Дзятлаўскі,ДЗТ,Dzyatlava,DZT,Дятловский,ДТЛ,Зьдзецельскі,ЗДЗ,Zdzyetsyel,ZDZ,Ździeciełski,ŹDZ
4,11,district,Гарадзенская,Зэльвенскі,ЗЛВ,Zelva,ZLV,Зельвенский,ЗЛВ,Зэльвенскі,ЗЛВ,Zelva,ZLV,Zeĺvienski,ZĹV
5,8,district,Гарадзенская,Іўеўскі,ІЎЕ,Iwye,IWY,Ивьевский,ИВЬ,Іўеўскі,ІЎЕ,Iwye,IWY,Iŭjeŭski,IŬJ
5,10,district,Гарадзенская,Карэліцкі,КРЛ,Karelichy,KRL,Кореличский,КРЛ,Карэліцкі,КРЛ,Karelichy,KRL,Karelicki,KRL
4,9,district,Гарадзенская,Лідскі,ЛІД,Lida,LID,Лидский,ЛИД,Лідзкі,ЛІД,Lida,LID,Lidzki,LID
3,10,district,Гарадзенская,Мастоўскі,МСТ,Masty,MST,Мостовский,МСТ,Мастоўскі,МСТ,Masty,MST,Mastoŭski,MST
5,9,district,Гарадзенская,Навагрудскі,НВГ,Navahrudak,NVH,Новогрудский,НВГ,Наваградзкі,НВГ,Navahrudak,NVH,Navahradzki,NVH
2,11,district,Гарадзенская,Свіслацкі,СВС,Svislach,SVS,Свислочский,СВС,Сьвіслацкі,СВС,Svislach,SVS,Śvisłacki,ŚVS
4,12,district,Гарадзенская,Слонімскі,СЛН,Slonim,SLN,Слонимский,СЛН,Слонімскі,СЛН,Slonim,SLN,Słonimski,SŁN
6,7,district,Гарадзенская,Смаргонскі,СМР,Smarhon,SMR,Сморгонский,СМР,Смаргонскі,СМР,Smarhon,SMR,Smarhonski,SMR
3,9,district,Гарадзенская,Шчучынскі,ШЧЧ,Shchuchyn,SCU,Щучинский,ЩЧН,Шчучынскі,ШЧЧ,Shchuchyn,SCU,Ščučynski,ŠČČ
10,10,district,Магілёўская,Асіповіцкі,АСП,Asipovichy,ASP,Осиповичский,ОСП,Асіпавіцкі,АСП,Asipavichy,ASP,Asipavicki,ASP
11,11,district,Магілёўская,Бабруйскі,ББР,Babruysk,BBR,Бобруйский,ББР,Бабруйскі,ББР,Babruysk,BBR,Babrujski,BBR
12,10,district,Магілёўская,Быхаўскі,БЫХ,Bykhaw,BKH,Быховский,БЫХ,Быхаўскі,БЫХ,Bykhaw,BKH,Bychaŭski,BCH
11,9,district,Магілёўская,Бялыніцкі,БЛН,Byalynichy,BLN,Белыничский,БЛН,Бялыніцкі,БЛН,Byalynichy,BLN,Białynicki,BŁN
10,11,district,Магілёўская,Глускі,ГЛС,Hlusk,HLS,Глусский,ГЛС,Глускі,ГЛС,Hlusk,HLS,Hluski,HLS
13,8,district,Магілёўская,Горацкі,ГРК,Horki,HRK,Горецкий,ГРК,Горацкі,ГРК,Horki,HRK,Horacki,HRK
13,9,district,Магілёўская,Дрыбінскі,ДРБ,Drybin,DRB,Дрибинский,ДРБ,Дрыбінскі,ДРБ,Drybin,DRB,Drybinski,DRB
15,11,district,Магілёўская,Касцюковіцкі,КСЦ,Kastsyukovichy,KST,Костюковичский,КСТ,Касьцюковіцкі,КСЦ,Kastsyukovichy,KST,Kaściukovicki,KŚC
11,10,district,Магілёўская,Кіраўскі,КРВ,Kirawsk,KRW,Кировский,КРВ,Качэрыцкі,КЧР,Kacherychy,KCH,Kačerycki,KČR
15,9,district,Магілёўская,Клімавіцкі,КЛМ,Klimavichy,KLM,Климовичский,КЛМ,Клімавіцкі,КЛМ,Klimavichy,KLM,Klimavicki,KLM
10,9,district,Магілёўская,Клічаўскі,КЛЧ,Klichaw,KLC,Кличевский,КЛЧ,Клічаўскі,КЛЧ,Klichaw,KLC,Kličaŭski,KLČ
14,11,district,Магілёўская,Краснапольскі,КРС,Krasnapollye,KRS,Краснопольский,КРС,Краснапольскі,КРС,Krasnapollye,KRS,Krasnapolski,KRS
11,8,district,Магілёўская,Круглянскі,КРГ,Kruhlaye,KRH,Круглянский,КРГ,Круглянскі,КРГ,Kruhlaye,KRH,Kruhłjanski,KRH
14,9,district,Магілёўская,Крычаўскі,КРЧ,Krychaw,KRY,Кричевский,КРЧ,Крычаўскі,КРЧ,Krychaw,KRY,Kryčaŭski,KRČ
12,9,district,Магілёўская,Магілёўскі,МГЛ,Mahilyow,MHL,Могилевский,МГЛ,Магілёўскі,МГЛ,Mahilyow,MHL,Mahiloŭski,MHL
14,8,district,Магілёўская,Мсціслаўскі,МСС,Mstsislaw,MSS,Мстиславский,МСС,Амсьціслаўскі,АМС,Amstsislaw,AMS,Amścisłaŭski,AMŚ
13,11,district,Магілёўская,Слаўгарадскі,СЛА,Slawharad,SLA,Славгородский,СЛА,Прапойскі,ПРП,Prapoysk,PRP,Prapojski,PRP
15,10,district,Магілёўская,Хоцімскі,ХЦМ,Khotsimsk,KHT,Хотимский,ХТМ,Хоцімскі,ХЦМ,Khotsimsk,KHT,Chocimski,CHC
13,10,district,Магілёўская,Чавускі,ЧВС,Chavusy,CHV,Чаусский,ЧСС,Чавускі,ЧВС,Chavusy,CHV,Čavuski,ČVS
14,10,district,Магілёўская,Чэрыкаўскі,ЧРК,Cherykaw,CHR,Чериковский,ЧРК,Чэрыкаўскі,ЧРК,Cherykaw,CHR,Čerykaŭski,ČRK
12,8,district,Магілёўская,Шклоўскі,ШКЛ,Shklow,SKL,Шкловский,ШКЛ,Шклоўскі,ШКЛ,Shklow,SKL,Škłoŭski,ŠKŁ
9,7,district,Менская,Барысаўскі,БАР,Barysaw,BAR,Борисовский,БОР,Барысаўскі,БАР,Barysaw,BAR,Barysaŭski,BAR
10,8,district,Менская,Бярэзінскі,БРЗ,Byerazino,BRZ,Березинский,БРЗ,Бярэзінскі,БРЗ,Byarezan,BRZ,Biarezinski,BRZ
6,8,district,Менская,Валожынскі,ВЛЖ,Valozhyn,VLZ,Воложинский,ВЛЖ,Валожынскі,ВЛЖ,Valozhyn,VLZ,Vałožynski,VŁŽ
7,6,district,Менская,Вілейскі,ВЛК,Vilyeyka,VLK,Вилейский,ВЛК,Вялейскі,ВЛК,Vyalyeyka,VLK,Vialejski,VLK
7,8,district,Менская,Дзяржынскі,ДЗР,Dzyarzhynsk,DZR,Дзержинский,ДЗР,Койданаўскі,КДН,Koydanaw,KDN,Kojdanaŭski,KDN
